Gr_Content,Gr_Sentiment
Layin n κρεβάτι με πονοκέφαλο ughhhh περιμένετε στην κλήση σας,θλίψη
Τελετή κηδείας ζοφερή την Παρασκευή,θλίψη
Θα έπρεπε να κοιμηθώ αλλά να μην σκέφτομαι έναν παλιό φίλο που θέλω αλλά εσύ παντρεύτηκε τώρα βλασφημία θέλει να με 2 σκάνδαλο,θλίψη
Charlene η αγάπη μου μου λείπεις,θλίψη
Λυπούμαι τουλάχιστον την Παρασκευή,θλίψη
Ugh πρέπει να νικήσει αυτό το ηλίθιο τραγούδι για να φτάσετε στην επόμενη αγενής,θλίψη
εάν u παρακολουθήσετε τους λόφους στο Λονδίνο u θα συνειδητοποιήσει τι tourture είναι επειδή ήταν εβδομάδες και εβδομάδες αργά βλέπω μόνο itonlinelol,θλίψη
Έχω τα νέα,έκπληξη
Η καταιγίδα είναι εδώ και ο ηλεκτρισμός έχει φύγει,θλίψη
"Έτσι, ξανά νυσταγμένος και ακόμη και αυτό αργά αδυνατώ και πάλι",θλίψη
Πως είσαι πεπεισμένος ότι πάντα ήθελα να σε βγάζεις τι σημάδια έδωσα μακριά; Νομίζω ότι έχασα μόλις έναν άλλο φίλο,θλίψη
τόσο κουρασμένος και νομίζω ότι θα πάω σίγουρα να πάρω μια λοίμωξη στο αυτί να κοιμάται quotearlyquot για μία φορά,θλίψη
Λυπάμαι που οι άνθρωποι είναι τόσο αγενείς σε σας ότι πρέπει να παίρνουν κάποια μαγεία και να γνωρίζουν καλύτερα από το να είναι τόσο αηδιασμένοι,θλίψη
Fudge Απλά BSd ότι όλο το χαρτί τόσο κουρασμένος Ugh μισώ σχολείο χρόνο για ύπνο,θλίψη
Ναι Αισθάνομαι όλοι αστεία γιατί δεν έχω κοιμηθεί αρκετά ξύπνησα τη μαμά μου γιατί ήμουν τραγουδώντας αυτή δεν εντυπωσίασε Σ,θλίψη
Im έχοντας ένα πρόβλημα με τη φωτογραφία μου εδώ στο twitter amf cant δείτε το πρόσωπό μου,θλίψη
Aww Και προς τα πάνω και τώρα τώρα yay Ακόμα λυπηρό να φύγω στοιχηματίζω,θλίψη
diesel yaris 70mpg τόσο λυπηρό δεν είναι διαθέσιμο στις ΗΠΑ Thatd είναι φοβερό,θλίψη
"Θέλω να αγοράσω αυτό το σπουδαίο άλμπουμ, αλλά δυστυχώς δεν έχω τα χρήματα για τον παρατεταμένο χρόνο μου",θλίψη
σε όλη την ειλικρίνεια πόνου blech,θλίψη
