sentiment,Content
anger,['aback']
anticipation,['aback']
disgust,['aback']
fear,['aback']
joy,['aback']
sadness,['aback']
surprise,['aback']
trust,['aback']
anger,['abacus']
anticipation,['abacus']
disgust,['abacus']
fear,['abacus']
joy,['abacus']
sadness,['abacus']
surprise,['abacus']
trust,['abacus']
anger,['abandon']
anticipation,['abandon']
disgust,['abandon']
fear,['abandon']
joy,['abandon']
sadness,['abandon']
surprise,['abandon']
trust,['abandon']
anger,['abandoned']
anticipation,['abandoned']
disgust,['abandoned']
fear,['abandoned']
joy,['abandoned']
sadness,['abandoned']
surprise,['abandoned']
trust,['abandoned']
anger,['abandonment']
anticipation,['abandonment']
disgust,['abandonment']
fear,['abandonment']
joy,['abandonment']
sadness,['abandonment']
surprise,['abandonment']
trust,['abandonment']
anger,['abate']
anticipation,['abate']
disgust,['abate']
fear,['abate']
joy,['abate']
sadness,['abate']
surprise,['abate']
trust,['abate']
anger,['abatement']
anticipation,['abatement']
disgust,['abatement']
fear,['abatement']
joy,['abatement']
sadness,['abatement']
surprise,['abatement']
trust,['abatement']
anger,['abba']
anticipation,['abba']
disgust,['abba']
fear,['abba']
joy,['abba']
sadness,['abba']
surprise,['abba']
trust,['abba']
anger,['abbot']
anticipation,['abbot']
disgust,['abbot']
fear,['abbot']
joy,['abbot']
sadness,['abbot']
surprise,['abbot']
trust,['abbot']
anger,['abbreviate']
anticipation,['abbreviate']
disgust,['abbreviate']
fear,['abbreviate']
joy,['abbreviate']
sadness,['abbreviate']
surprise,['abbreviate']
trust,['abbreviate']
anger,['abbreviation']
anticipation,['abbreviation']
disgust,['abbreviation']
fear,['abbreviation']
joy,['abbreviation']
sadness,['abbreviation']
surprise,['abbreviation']
trust,['abbreviation']
anger,['abdomen']
anticipation,['abdomen']
disgust,['abdomen']
fear,['abdomen']
joy,['abdomen']
sadness,['abdomen']
surprise,['abdomen']
trust,['abdomen']
anger,['abdominal']
anticipation,['abdominal']
disgust,['abdominal']
fear,['abdominal']
joy,['abdominal']
sadness,['abdominal']
surprise,['abdominal']
trust,['abdominal']
anger,['abduction']
anticipation,['abduction']
disgust,['abduction']
fear,['abduction']
joy,['abduction']
sadness,['abduction']
surprise,['abduction']
trust,['abduction']
anger,['aberrant']
anticipation,['aberrant']
disgust,['aberrant']
fear,['aberrant']
joy,['aberrant']
sadness,['aberrant']
surprise,['aberrant']
trust,['aberrant']
anger,['aberration']
anticipation,['aberration']
disgust,['aberration']
fear,['aberration']
joy,['aberration']
sadness,['aberration']
surprise,['aberration']
trust,['aberration']
anger,['abeyance']
anticipation,['abeyance']
disgust,['abeyance']
fear,['abeyance']
joy,['abeyance']
sadness,['abeyance']
surprise,['abeyance']
trust,['abeyance']
anger,['abhor']
anticipation,['abhor']
disgust,['abhor']
fear,['abhor']
joy,['abhor']
sadness,['abhor']
surprise,['abhor']
trust,['abhor']
anger,['abhorrent']
anticipation,['abhorrent']
disgust,['abhorrent']
fear,['abhorrent']
joy,['abhorrent']
sadness,['abhorrent']
surprise,['abhorrent']
trust,['abhorrent']
anger,['abide']
anticipation,['abide']
disgust,['abide']
fear,['abide']
joy,['abide']
sadness,['abide']
surprise,['abide']
trust,['abide']
anger,['ability']
anticipation,['ability']
disgust,['ability']
fear,['ability']
joy,['ability']
sadness,['ability']
surprise,['ability']
trust,['ability']
anger,['abject']
anticipation,['abject']
disgust,['abject']
fear,['abject']
joy,['abject']
sadness,['abject']
surprise,['abject']
trust,['abject']
anger,['ablation']
anticipation,['ablation']
disgust,['ablation']
fear,['ablation']
joy,['ablation']
sadness,['ablation']
surprise,['ablation']
trust,['ablation']
anger,['ablaze']
anticipation,['ablaze']
disgust,['ablaze']
fear,['ablaze']
joy,['ablaze']
sadness,['ablaze']
surprise,['ablaze']
trust,['ablaze']
anger,['abnormal']
anticipation,['abnormal']
disgust,['abnormal']
fear,['abnormal']
joy,['abnormal']
sadness,['abnormal']
surprise,['abnormal']
trust,['abnormal']
anger,['aboard']
anticipation,['aboard']
disgust,['aboard']
fear,['aboard']
joy,['aboard']
sadness,['aboard']
surprise,['aboard']
trust,['aboard']
anger,['abode']
anticipation,['abode']
disgust,['abode']
fear,['abode']
joy,['abode']
sadness,['abode']
surprise,['abode']
trust,['abode']
anger,['abolish']
anticipation,['abolish']
disgust,['abolish']
fear,['abolish']
joy,['abolish']
sadness,['abolish']
surprise,['abolish']
trust,['abolish']
anger,['abolition']
anticipation,['abolition']
disgust,['abolition']
fear,['abolition']
joy,['abolition']
sadness,['abolition']
surprise,['abolition']
trust,['abolition']
anger,['abominable']
anticipation,['abominable']
disgust,['abominable']
fear,['abominable']
joy,['abominable']
sadness,['abominable']
surprise,['abominable']
trust,['abominable']
anger,['abomination']
anticipation,['abomination']
disgust,['abomination']
fear,['abomination']
joy,['abomination']
sadness,['abomination']
surprise,['abomination']
trust,['abomination']
anger,['aboriginal']
anticipation,['aboriginal']
disgust,['aboriginal']
fear,['aboriginal']
joy,['aboriginal']
sadness,['aboriginal']
surprise,['aboriginal']
trust,['aboriginal']
anger,['abort']
anticipation,['abort']
disgust,['abort']
fear,['abort']
joy,['abort']
sadness,['abort']
surprise,['abort']
trust,['abort']
anger,['abortion']
anticipation,['abortion']
disgust,['abortion']
fear,['abortion']
joy,['abortion']
sadness,['abortion']
surprise,['abortion']
trust,['abortion']
anger,['abortive']
anticipation,['abortive']
disgust,['abortive']
fear,['abortive']
joy,['abortive']
sadness,['abortive']
surprise,['abortive']
trust,['abortive']
anger,['abound']
anticipation,['abound']
disgust,['abound']
fear,['abound']
joy,['abound']
sadness,['abound']
surprise,['abound']
trust,['abound']
anger,['abovementioned']
anticipation,['abovementioned']
disgust,['abovementioned']
fear,['abovementioned']
joy,['abovementioned']
sadness,['abovementioned']
surprise,['abovementioned']
trust,['abovementioned']
anger,['abrasion']
anticipation,['abrasion']
disgust,['abrasion']
fear,['abrasion']
joy,['abrasion']
sadness,['abrasion']
surprise,['abrasion']
trust,['abrasion']
anger,['abroad']
anticipation,['abroad']
disgust,['abroad']
fear,['abroad']
joy,['abroad']
sadness,['abroad']
surprise,['abroad']
trust,['abroad']
anger,['abrogate']
anticipation,['abrogate']
disgust,['abrogate']
fear,['abrogate']
joy,['abrogate']
sadness,['abrogate']
surprise,['abrogate']
trust,['abrogate']
anger,['abrupt']
anticipation,['abrupt']
disgust,['abrupt']
fear,['abrupt']
joy,['abrupt']
sadness,['abrupt']
surprise,['abrupt']
trust,['abrupt']
anger,['abruptly']
anticipation,['abruptly']
disgust,['abruptly']
fear,['abruptly']
joy,['abruptly']
sadness,['abruptly']
surprise,['abruptly']
trust,['abruptly']
anger,['abscess']
anticipation,['abscess']
disgust,['abscess']
fear,['abscess']
joy,['abscess']
sadness,['abscess']
surprise,['abscess']
trust,['abscess']
anger,['absence']
anticipation,['absence']
disgust,['absence']
fear,['absence']
joy,['absence']
sadness,['absence']
surprise,['absence']
trust,['absence']
anger,['absent']
anticipation,['absent']
disgust,['absent']
fear,['absent']
joy,['absent']
sadness,['absent']
surprise,['absent']
trust,['absent']
anger,['absentee']
anticipation,['absentee']
disgust,['absentee']
fear,['absentee']
joy,['absentee']
sadness,['absentee']
surprise,['absentee']
trust,['absentee']
anger,['absenteeism']
anticipation,['absenteeism']
disgust,['absenteeism']
fear,['absenteeism']
joy,['absenteeism']
sadness,['absenteeism']
surprise,['absenteeism']
trust,['absenteeism']
anger,['absinthe']
anticipation,['absinthe']
disgust,['absinthe']
fear,['absinthe']
joy,['absinthe']
sadness,['absinthe']
surprise,['absinthe']
trust,['absinthe']
anger,['absolute']
anticipation,['absolute']
disgust,['absolute']
fear,['absolute']
joy,['absolute']
sadness,['absolute']
surprise,['absolute']
trust,['absolute']
anger,['absolution']
anticipation,['absolution']
disgust,['absolution']
fear,['absolution']
joy,['absolution']
sadness,['absolution']
surprise,['absolution']
trust,['absolution']
anger,['absorbed']
anticipation,['absorbed']
disgust,['absorbed']
fear,['absorbed']
joy,['absorbed']
sadness,['absorbed']
surprise,['absorbed']
trust,['absorbed']
anger,['absorbent']
anticipation,['absorbent']
disgust,['absorbent']
fear,['absorbent']
joy,['absorbent']
sadness,['absorbent']
surprise,['absorbent']
trust,['absorbent']
anger,['absorbing']
anticipation,['absorbing']
disgust,['absorbing']
fear,['absorbing']
joy,['absorbing']
sadness,['absorbing']
surprise,['absorbing']
trust,['absorbing']
anger,['absorption']
anticipation,['absorption']
disgust,['absorption']
fear,['absorption']
joy,['absorption']
sadness,['absorption']
surprise,['absorption']
trust,['absorption']
anger,['abstain']
anticipation,['abstain']
disgust,['abstain']
fear,['abstain']
joy,['abstain']
sadness,['abstain']
surprise,['abstain']
trust,['abstain']
anger,['abstention']
anticipation,['abstention']
disgust,['abstention']
fear,['abstention']
joy,['abstention']
sadness,['abstention']
surprise,['abstention']
trust,['abstention']
anger,['abstinence']
anticipation,['abstinence']
disgust,['abstinence']
fear,['abstinence']
joy,['abstinence']
sadness,['abstinence']
surprise,['abstinence']
trust,['abstinence']
anger,['abstract']
anticipation,['abstract']
disgust,['abstract']
fear,['abstract']
joy,['abstract']
sadness,['abstract']
surprise,['abstract']
trust,['abstract']
anger,['abstraction']
anticipation,['abstraction']
disgust,['abstraction']
fear,['abstraction']
joy,['abstraction']
sadness,['abstraction']
surprise,['abstraction']
trust,['abstraction']
anger,['absurd']
anticipation,['absurd']
disgust,['absurd']
fear,['absurd']
joy,['absurd']
sadness,['absurd']
surprise,['absurd']
trust,['absurd']
anger,['absurdity']
anticipation,['absurdity']
disgust,['absurdity']
fear,['absurdity']
joy,['absurdity']
sadness,['absurdity']
surprise,['absurdity']
trust,['absurdity']
anger,['abundance']
anticipation,['abundance']
disgust,['abundance']
fear,['abundance']
joy,['abundance']
sadness,['abundance']
surprise,['abundance']
trust,['abundance']
anger,['abundant']
anticipation,['abundant']
disgust,['abundant']
fear,['abundant']
joy,['abundant']
sadness,['abundant']
surprise,['abundant']
trust,['abundant']
anger,['abuse']
anticipation,['abuse']
disgust,['abuse']
fear,['abuse']
joy,['abuse']
sadness,['abuse']
surprise,['abuse']
trust,['abuse']
anger,['abutment']
anticipation,['abutment']
disgust,['abutment']
fear,['abutment']
joy,['abutment']
sadness,['abutment']
surprise,['abutment']
trust,['abutment']
anger,['aby']
anticipation,['aby']
disgust,['aby']
fear,['aby']
joy,['aby']
sadness,['aby']
surprise,['aby']
trust,['aby']
anger,['abysmal']
anticipation,['abysmal']
disgust,['abysmal']
fear,['abysmal']
joy,['abysmal']
sadness,['abysmal']
surprise,['abysmal']
trust,['abysmal']
