Tweet,Lemmatized_Tokens,Polarity,Polarity_Intensity
Κατακραυγή στην Γαλλία: Αφγανός μετανάστης στο σκαμνί για σεξουαλικά εγκλήματα εναντίον 5χρονου κοριτσιού,"['κατακραυγή', 'Γαλλία', 'αφγανός', 'μετανάστης', 'σκαμνί', 'σεξουαλικά', 'εγκλήματο', 'χρονος', 'κοριτσί', 'πέντε']",-1,-1
"Παραιτήσανε με το έτσι θέλω τον 80χρονο διοικητή του Νοσοκομείου Καρδίτσας. Αν ο άνθρωπος απηυδήσει μ' όλα αυτά και τα μαζέψει για εξωτερικό ως οικονομικός μετανάστης, μετά θα σκούζετε για το συνεχιζόμενο μπρέιν ντρέιν","['παραιτήσανε', 'θέλω', 'χρονος', 'διοικητή', 'νοσοκομείο', 'Καρδίτσας', 'άνθρωπος', 'απηυδήσω', 'αυτά', 'μαζέψει', 'εξωτερικό', 'οικονομικός', 'μετανάστης', 'σκούζω', 'συνεχιζόμενος', 'μπρέιν', 'ντρέιν', 'ογδόντα']",1,2
"@anatropi_news @JiaManie Κρίμα και είχε το μέλλον μπροστά του, ένας ακόμα μετανάστης θα φύγει να βρει την τύχη του !","['κρίμα', 'έχω', 'μέλλον', 'μπροστά', 'ένας', 'μετανάστης', 'φύγω', 'βρω', 'τύχη']",1,1
"Είσαι καρκινοπαθής, μετανάστης και δεν έχεις ΑΜΚΑ; Εδώ είναι νοσοκομείο, να πας αλλού…","['καρκινοπαθής', 'μετανάστης', 'δεν', 'αμκα', 'είναι', 'νοσοκομείο', 'πας', 'αλλού', '…']",0,0
@kyrakrts Κι άλλος υποψήφιος μετανάστης? Δεν θα το αντέξω αυτό!,"['υποψήφιος', 'μετανάστης', 'αντέξω']",0,0
|είμαι το βάσανο του Σύριου πρόσφυγα που σπούδασε για μία καλύτερη ζωή,"['βάσανο', 'Σύριου', 'πρόσφυγα', 'σπούδασε', 'μία', 'καλός', 'ζωή']",1,1
κι έγινε ράφτης στον νέο κόσμο για να σωθεί,"['ράφτης', 'νέος', 'κόσμο', 'σωθώ']",0,0
ο μαύρος μετανάστης της κυψέλης απ' την ακτή ελαφαντοστού που του κλέβουν κάθε ανάπαυλα χαμόγελου,"['μαύρος', 'μετανάστης', 'κυψέλη', 'την', 'ακτός', 'ελαφαντοστός', 'του', 'κλέβω', 'ανάπαυλος', 'χαμόγελο']",1,1
Χωρίς τέλος οι προσφυγικές ροές στα νησιά - Έφτασαν σχεδόν 2.800 άτομα σε μία εβδομάδα  #Προσφυγικό #Αιγαίο #νησιά,"['τέλος', 'προσφυγικός', 'ροός', 'νησί', 'έφτασαν', 'άτομο', 'μία', 'εβδομάδα', 'προσφυγικό', 'Αιγαίο', 'νησί', 'thousand', 'eight']",0,0
"Κατά συνέπεια για πρώτη φορά μετά τη Μεταπολίτευση θα πάμε στις επόμενες εκλογές με θέμα αν θέλουμε η Ελλάδα να είναι κράτος Ελλήνων ή θέλουμε να επιστρέψουμε στο πολυπολιτισμικό μοντέλο, α λα Οθωμανική Αυτοκρατορία. 😂🤣😂🤣😂🤣","['συνέπεια', 'πρώτη', 'φορά', 'μεταπολίτευση', 'πηγαίνω', 'επόμενες', 'εκλογές', 'θέμα', 'θέλω', 'Ελλάδα', 'είναι', 'κράτος', 'Ελλήνων', 'θέλω', 'επιστρέψω', 'πολυπολιτισμικό', 'μοντέλο', 'λα', 'οθωμανικός', 'αυτοκρατορία', 'the', 'with', 'rolling', 'the', 'laughing', 'πρόσωπο', 'δάκρυο', 'Χαρά', 'πάτωμα', 'πρόσωπο', 'δάκρυα', 'Χαρά', 'πάτωμα', 'πρόσωπο', 'δάκρυα', 'Χαρά', 'πάτωμα']",-1,-2
Οι παλιοί κανόνες δεν ισχύουν πλέον.,"['παλιός', 'κανόνα', 'ισχύω']",0,0
Η Αγαπηδάκη διορίστηκε να φροντίζει προσφυγόπουλα,"['αγαπηδάκη', 'διορίστηκε', 'φροντίζω', 'προσφυγόπουλα']",0,0
Μοναδικό της προσόν οι εμετικές αντισυριζα αναρτήσεις της. Θα τα φροντίζει όχι δια μέσου της κρατικής πρόνοιας,"['μοναδικό', 'προσόν', 'εμετικός', 'αντισυριζος', 'αναρτήσει', 'φροντίζω', 'δια', 'μέσο', 'κρατικός', 'πρόνοια']",1,1
άλλα με την φιλανθρωπία που διακρίνει την τάξη των ΑΡΊΣΤΩΝ αρπακτικών της εξουσίας.,"['φιλανθρωπίας', 'διακρίνω', 'τάξη', 'αρίστος', 'αρπακτικός', 'εξουσία']",0,0
RT @jedijig: Κατά συνέπεια για πρώτη φορά μετά τη Μεταπολίτευση θα πάμε στις επόμενες εκλογές με θέμα αν θέλουμε η Ελλάδα να είναι κράτος Ε…,"['κατά', 'συνέπεια', 'πρώτη', 'φορά', 'μεταπολίτευση', 'πηγαίνω', 'επόμενες', 'εκλογές', 'θέμα', 'θέλω', 'Ελλάδα', 'είναι', 'κράτος']",0,0
"Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της ΕΕ, γιατί διαφωνώ με τις περικοπές σε ΚΑΠ &amp; Συνοχή, γιατί θεωρώ ντροπή η ΕΕ να έχει παραλύσει στο προσφυγικό κ η Κομισιόν να είναι όμηρος των Ορμπαν-Σαλβίνι"".","['καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', 'του', 'αεπ', 'διαφωνώ', 'τις', 'περικοπή', 'καπ', 'συνοχή', 'θεωρώ', 'ντροπή', 'έχω', 'παραλύσω', 'προσφυγικό', 'κομισιόν', 'είναι', 'όμηρος', 'ορμπανσαλβίνι', 'αμπέραζ']",-1,-1
"RT @papadimoulis: Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της…","['στο', 'καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', 'του', 'αεπ', 'της', '…']",0,0
Πρόσφυγας από την Μπουρκίνα Φασο.,"['πρόσφυγας', 'την', 'μπουρκίνος', 'φασο']",0,0
Φαντάζομαι δεν ξερεις που είναι.,"['φαντάζομαι', 'ξερει', 'είναι']",1,1
"""το κοριτσάκι που ανέλαβε συντονιστής για τα ασυνόδευτα προσφυγόπουλα"", ""ανικανοποίητες επιθυμιες"" - Αυτό προφανώς δεν είναι σεξιστική επίθεση, μην τρελαθούμε κιόλας, δεν την είπε βουλευτή αντί για βουλεύτρια ή κάτι τόσο βαρύ...","['κοριτσάκι', 'ανέλαβε', 'συντονιστή', 'ασυνόδευτα', 'προσφυγόπουλα', 'ανικανοποίητα', 'επιθυμιες', 'προφανώς', 'είναι', 'σεξιστικός', 'επίθεση', 'τρελαθούμε', 'δεν', 'λέω', 'βουλευτή', 'για', 'βουλεύτριος', 'τόσο', 'βαρύ']",-1,-1
"RT @CostasPap: ""το κοριτσάκι που ανέλαβε συντονιστής για τα ασυνόδευτα προσφυγόπουλα"", ""ανικανοποίητες επιθυμιες"" - Αυτό προφανώς δεν είναι…","['κοριτσάκι', 'ανέλαβε', 'συντονιστή', 'ασυνόδευτα', 'προσφυγόπουλα', 'ανικανοποίητα', 'επιθυμιες', 'προφανώς', 'είναι', '…']",0,0
Ο Κούλης συνάντησε τον Ερντογάν στον ΟΗΕ. Αποτέλεσμα: αύξηση των μεταναστευτικών ροών από Τουρκία..,"['κούλης', 'συνάντησε', 'ερντογάν', 'οηε', 'Αποτέλεσμα', 'αύξηση', 'μεταναστευτικός', 'ροή', 'Τουρκία']",0,0
Ο Κούλης στο συνέδριο του ΕΛΚ ζήτησε να δεχθούν ασυνόδευτα παιδιά. Αποτέλεσμα: αρνήθηκαν και αυτός διόρισε άσχετους σφουγγοκωλαριους Αγαπηδάκη Δοξιάδη..,"['κούλης', 'συνέδριο', 'ελκ', 'ζήτησε', 'δεχθώ', 'ασυνόδευτα', 'παιδιά', 'αποτέλεσμα', 'αρνήθηκαν', 'αυτός', 'διόρομαι', 'άσχετους', 'σφουγγοκωλαριου', 'αγαπηδάκη', 'δοξιάδη']",0,0
RT @HoboSapios: Ο Κούλης συνάντησε τον Ερντογάν στον ΟΗΕ. Αποτέλεσμα: αύξηση των μεταναστευτικών ροών από Τουρκία..,"['κούλης', 'συνάντησε', 'ερντογάν', 'οηε', 'Αποτέλεσμα', 'αύξηση', 'μεταναστευτικός', 'ροή', 'Τουρκία']",0,0
Ο Κούλης στο συνέδριο τ…,"['κούλης', 'συνέδριο']",0,0
"Εντάξει, μας ζάλισε ο Μητσοτάκης με τα ""ανήλικα ασυνόδευτα"" μπας και συγκινηθεί το πόπολο και ξεχάσει ότι τα έκανε μούσκεμα με το μεταναστευτικό ζήτημα. Κάποιοι τσιμπάνε και νομίζουν ότι μιλάμε για μωρά και ζητάνε να τα υιοθετήσουν κιόλας.","['εντάξω', 'ζάλισε', 'μητσοτάκης', 'ανήλικας', 'ασυνόδευτα', 'μπα', 'συγκινηθώ', 'πόπολο', 'ξεχάσω', 'μούσκεμα', 'μεταναστευτικό', 'ζήτημα', 'τσιμπάνε', 'νομίζω', 'μιλάμε', 'μωρώ', 'ζητάνε', 'υιοθετήσω']",-1,-1
"RT @alexsgouros3: Εντάξει, μας ζάλισε ο Μητσοτάκης με τα ""ανήλικα ασυνόδευτα"" μπας και συγκινηθεί το πόπολο και ξεχάσει ότι τα έκανε μούσκε…","['εντάξω', 'ζάλισε', 'μητσοτάκης', 'ανήλικας', 'ασυνόδευτα', 'μπα', 'συγκινηθώ', 'πόπολο', 'ξεχάσω', 'μούσκε', '…', 'τρία']",0,0
"Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη","['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']",0,0
"Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει, ότι είδους παρανομία και αν είναι αυτή. Θα βγάλουν τα όπλα.","['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', 'είδου', 'παρανομίο', 'αυτή', 'βγάλω', 'όπλο']",0,0
"RT @DelgadoSero: Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη","['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']",0,0
Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει…,"['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', '…']",0,0
«Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατάκα για πέσιμο?,"['παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'είναι', 'καλός', 'ατάκος', 'πέσιμο']",1,1
RT @tolisv: «Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατά…,"['σας', 'παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'είναι', 'καλός', 'ατά', '…']",1,1
"Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια","['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιο']",0,0
μέσω του χρήστη @avgionline,"['του', 'χρήστη']",0,0
"RT @AvgiOnline: Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια","['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιο']",0,0
